state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,ZIP,LWIB Area
Arizona,Safeway Inc.,Phoenix,"Jan 14, 2025",,,WARN,,85027,5 - ARIZONA@WORK - City of Phoenix
Arizona,DFC,Chandler,"Apr 29, 2025",,,WARN,,85226,7 - ARIZONA@WORK - Maricopa County
Arizona,ManpowerGroup US Inc.,Goodyear,"Jan 27, 2025",,,WARN,,85338,7 - ARIZONA@WORK - Maricopa County
Arizona,Nikola Corporation,Phoenix,"Feb 19, 2025",,,WARN,,85040,5 - ARIZONA@WORK - City of Phoenix
Arizona,Nikola Corporation,Coolidge,"Feb 19, 2025",,,WARN,,85128,2003 - ARIZONA@WORK - Pinal
Arizona,Behavioral Health Link,Atlanta,"Feb 19, 2025",,,WARN,,30361,7 - ARIZONA@WORK - Maricopa County
Arizona,"Veyer, LLC",Phoenix,"Feb 28, 2025",,,WARN,,85043,5 - ARIZONA@WORK - City of Phoenix
Arizona,LUKE Holding Inc.,Tucson,"Feb 28, 2025",,,WARN,,85756,6 - ARIZONA@WORK - Pima
Arizona,LUKE Holding Inc.,Nogales,"Feb 28, 2025",,,WARN,,85621,8 - ARIZONA@WORK - Santa Cruz County
Arizona,LUKE Holding Inc.,Yuma,"Feb 28, 2025",,,WARN,,85364,9 - ARIZONA@WORK - Yuma County
Arizona,Microchip,Tempe,"Mar 03, 2025",,,WARN,,85281,7 - ARIZONA@WORK - Maricopa County
Arizona,"TXP - Transfer Express, Inc.",Chandler,"Apr 29, 2025",,,WARN,,85226,7 - ARIZONA@WORK - Maricopa County
Arizona,"Tilson Technology Management, Inc.",Chandler,"May 05, 2025",,,WARN,,85226,7 - ARIZONA@WORK - Maricopa County
Arizona,District Medical Group (Children's Rehabilitative Services),Phoenix,"Apr 25, 2025",,,WARN,,85013,5 - ARIZONA@WORK - City of Phoenix
Arizona,"Block, Inc.",Oakland,"Feb 26, 2026",,,WARN,,94612,7 - ARIZONA@WORK - Maricopa County
Arizona,DLP Services,Yuma,"Mar 19, 2025",,,WARN,,85364,9 - ARIZONA@WORK - Yuma County
Arizona,"Block, INC.",Oakland,"Mar 25, 2025",,,WARN,,94612,7 - ARIZONA@WORK - Maricopa County
Arizona,General Dynamics Information Technology,Falls Church,"Mar 28, 2025",,,WARN,,22042,1 - ARIZONA@WORK - Southeastern Arizona
Arizona,Berger Logistics,Phoenix,"Apr 01, 2025",,,WARN,,85014,5 - ARIZONA@WORK - City of Phoenix
Arizona,"Crisis Preparation & Recovery, Inc.",Phoenix,"May 06, 2025",,,WARN,,85037,5 - ARIZONA@WORK - City of Phoenix
Arizona,C2 Technologies,Mc Lean,"Mar 05, 2026",,,WARN,,22102,7 - ARIZONA@WORK - Maricopa County
Arizona,"Franklin Foods, Inc.",Casa Grande,"Dec 05, 2025",,,WARN,,85122,2003 - ARIZONA@WORK - Pinal
Arizona,"National Distribution Centers, LLC",Waddell,"May 21, 2026",,,WARN,,85355,7 - ARIZONA@WORK - Maricopa County
Arizona,Florence Immigrant & Refugee Rights Project,Phoenix,"May 16, 2025",,,WARN,,85064,5 - ARIZONA@WORK - City of Phoenix
Arizona,Meyer Burger Americas,Goodyear,"May 22, 2025",,,WARN,,85338,7 - ARIZONA@WORK - Maricopa County
Arizona,Nordstrom Credit Bank,Englewood,"May 29, 2025",,,WARN,,80111,7 - ARIZONA@WORK - Maricopa County
Arizona,iQor Holdings US LLC,Tempe,"May 30, 2025",,,WARN,,85282,7 - ARIZONA@WORK - Maricopa County
Arizona,US Cellular Corporation,Chicago,"May 22, 2025",,,WARN,,60631,7 - ARIZONA@WORK - Maricopa County
Arizona,Mural Technologies,Tucson,"Jun 09, 2025",,,WARN,,85747,6 - ARIZONA@WORK - Pima
Arizona,Hickman's Family Farms,Buckeye,"Jun 16, 2025",,,WARN,,85326,7 - ARIZONA@WORK - Maricopa County
Arizona,Ruan Transport Corporation,Tolleson,"Jul 01, 2025",,,WARN,,85353,7 - ARIZONA@WORK - Maricopa County
Arizona,"Sodexo, Inc and Affiliates",Glendale,"Jul 02, 2025",,,WARN,,85306,7 - ARIZONA@WORK - Maricopa County
Arizona,"Zeco Systems, Inc.",Los Angeles,"Aug 18, 2025",,,WARN,,90021,7 - ARIZONA@WORK - Maricopa County
Arizona,Cruise LLC,Phoenix,"Feb 04, 2025",,,WARN,,85040,7 - ARIZONA@WORK - Maricopa County
Arizona,"Sinomax East, Inc.",Houston,"Mar 26, 2026",,,WARN,,77042,5 - ARIZONA@WORK - City of Phoenix
Arizona,"QB Intermediate Holdings, LLC, AKA Quality Built, LLC",Fort Lauderdale,"Jul 07, 2025",,,WARN,,33301,7 - ARIZONA@WORK - Maricopa County
Arizona,Nordstrom Credit Bank,Englewood,"Jun 26, 2025",,,WARN,,80111,7 - ARIZONA@WORK - Maricopa County
Arizona,Intel Corporation,Chandler,"Jul 07, 2025",,,WARN,,85226,7 - ARIZONA@WORK - Maricopa County
Arizona,"WeDriveU, Inc.",Tucson,"Jul 16, 2025",,,WARN,,85713,6 - ARIZONA@WORK - Pima
Arizona,KIRA Services LLC.,Wellton,"Jul 17, 2025",,,WARN,,85356,9 - ARIZONA@WORK - Yuma County
